Route ID,Route Description,Kilometer
305A-U,Nigdi To Dy Patil College Wadgaonmawal,22
305B-D,Navlakh Umbre To Nigdi,26
305B-U,Nigdi To Navlakh Umbre,26
305-D,Vadgaon Mawal To Nigdi,22
305-U,Nigdi To Vadgaon Mawal,22
306-D,Hinjawadi Maan Phase 3 To Dange Chowk,13.3
306-U,Dange Chowk To Hinjawadi Maan Phase 3,13.3
307A-D,Chinchwadgaon To Bhakti Shakti,4.6
307A-U,Bhakti Shakti To Chinchwadgaon,4.6
307-D,Walhekarwadi To Chinchwadgaon,2.3
307-U,Chinchwadgaon To Walhekarwadi,2.3
308-D,Gharkul Vasahat Chikhli To Bhakti Shakti,5.4
308-U,Bhakti Shakti To Gharkul Vasahat Chikhli,5.4
309-D,Dehugaon To Alandi,16
309-U,Alandi To Dehugaon,16
30A-D,Rautwadi To Marketyard,28
30A-U,Marketyard To Rautwadi,28
30-D,Ghotawade Phata To Marketyard,31.5
30-U,Marketyard To Ghotawade Phata,31.5
310A-D,Walhekarwadi To Nehrunagar Depo,7.7
310A-U,Nehrunagar Depo To Walhekarwadi,7.7
310-D,Walhekarwadi To Pune Station,24.8
310-U,Pune Station To Walhekarwadi,24.8
311-D,Pimprigaon To Pune Station,21.8
311-U,Pune Station To Pimprigaon,21.8
312-D,Chinchwadgaon To Pune Station,22.5
312-U,Pune Station To Chinchwadgaon,22.5
313A-D,Kasarsai Karkhana To Chinchwadgaon,17.2
313A-U,Chinchwadgaon To Kasarsai Karkhana,17.2
313B-D,Bhakti Shakti To Kasarsai Karkhana,21.5
313C-D,Nehrunagar Depo To Chandkhed,25.7
313-D,Chandkhed To Chinchwadgaon,19.3
313D-D,Bhakti Shakti To Chandkhed,21.5
313-U,Chinchwadgaon To Chandkhed,19.3
314-D,Mhalunge MIDC To Bhakti Shakti,11.2
314-U,Bhakti Shakti To Mhalunge MIDC,11.2
315A-D,Moshigaon To Pune Station,25.6
315A-U,Pune Station To Moshigaon,25.6
315-D,Bhosari To Pune Station (Vai Alandi Road),18.5
315D-U,Ma Na Pa To Dhanorigaon,11.6
315-U,Pune Station To Bhosari (Vai Alandi Road),18.5
316-D,Hinjawadi Maan Phase 3 To Chinchwadgaon,14.2
316-U,Chinchwadgaon To Hinjawadi Maan Phase 3,14.2
317A-D,Dapodi To Sambhajinagar,14.2
317B-D,Pune Station To Dapodi,9.8
317-D,Sambhajinagar To Pune Station,23.7
317-U,Pune Station To Sambhajinagar,23.7
318A-D,Gharkul Vasahat Chikali To Pune Station,25.6
318A-U,Pune Station To Gharkul Vasahat Chikali,25.6
318-D,Krishanagar To Pune Station,26
318-U,Pune Station To Krushnanagar,26
319-D,Vadgaon Mawal To Alandi,32.8
319-U,Alandi To Vadgaon Mawal,32.8
31A-D,Pune Station To Padmawati,10.1
31A-U,Padmawati To Pune Station,10.1
31-D,Pune Station To Taljai Pathar,12
31-U,Taljai Pathar To Pune Station,12
320-D,Mahalungegaon To Alandi,30.5
320-U,Alandi To Mahalungegaon,30.5
321A-D,Hinjawadi Maan Phase 3 To Pimpale Gurav,21.8
321A-U,Pimple Gurav To Hinjawadi Maan Phase 3,21.8
321-D,Hinjawadi Maan Phase 3 To Vasasantdada Putla Sangvi,23.1
321-U,Vasasantdada Putla Sangvi To Hinjawadi Maan Phase 3,23.1
322A-D,Akurdi Railway Station To Warje Malwadi,30.8
322A-U,Warje Malwadi To Akurdi Railway Station,30.8
322K-D,Akurdi Railway Station To Ma Na Pa,23.5
322K-U,Ma Na Pa To Akurdi Railway Station,23.5
323A-D,Gharkul Vasahat Chikhli To Ma Na Pa,23.4
323A-U,Ma Na Pa To Gharkul Vasahat Chikhli,23.4
323B-D,Chikhali To Nehrunagar Depo,8.9
323B-U,Nehrunagar Depo To Chikhali,8.9
323C-D,Gharkul Vasahat Chikhali To Nehrunagar Depo,6.6
323C-U,Nehrunagar Depo To Gharkul Vasahat Chikhali,6.6
323-D,Chikhali To Ma Na Pa,23.4
323-U,Ma Na Pa To Chikhali,23.4
324-D,Hinjawadi Maan Phase 3 To Bhosari,25.3
324-U,Bhosari To Hinjawadi Maan Phase 3,25.3
325A-D,Masulkar Colony To Nehrunagar Depo,2.7
325A-U,Nehrunagar Depo To Masulkar Colony,2.7
325-D,Masulkar Colony To Pune Station,18.7
325-U,Pune Station To Masulkar Colony,18.7
326A-D,Chikhali To Nehrunagar Depo,7.4
326A-U,Nehrunagar Depo To Chikhali,7.4
326B-D,Nehrunagar Depo To Chikhali,7.4
326-D,Chikhali To Pimprigaon,10.1
326-U,Pimprigaon To Chikhali,10.1
327A-D,Hinjawadi Maan Phase 3 To Nehrunagar Depo,21.3
327A-U,Nehrunagar Depo To Hinjawadi Maan Phase 3,21.3
327B-D,Bhosari To Hinjawadi Maan Phase 3,27.1
327C-D,Alandi To Nehrunagar Depo,13.3
327C-U,Nehrunagar Depo To Alandi,13.3
327-D,Hinjawadi Maan Phase 3 To Alandi,35.7
327-U,Alandi To Hinjawadi Maan Phase 3,35.7
328A-D,Rupeenagar To Nigdi,3
328A-U,Nigdi To Rupeenagar,3
329A-D,Dehugaon To Pune Station (Via Yarwada),34
329A-U,Pune Station To Dehugaon (Via Yarwada),34
329-D,Dehugaon To Pune Station (Via Wakdevadi),33
329-U,Pune Station To Dehugaon (Via Wakdevadi),33
32-D,Alandi To Bharati Vidyapeeth,34.1
32-U,Bharati Vidyapeeth To Alandi,34.1
331A-D,Rahatnigaon To Gavhanevasti Bhosari,13
331A-U,Gavhanevasti Bhosari To Rahatnigaon,13
331B-D,Rahatnigaon To Charholigaon,22
331B-U,Charholigaon To Rahatnigaon,22
331C-U,Nehrunagar Depo To Rahatnigaon,9.5
331-D,Rahatnigaon To Charholigaon,22
331D-U,Charholigaon To Nehrunagar Depo,12.5
331-U,Charholigaon To Rahatnigaon,22
332A-D,Pimple Saudagar To Ma Na Pa,15.7
332A-U,Ma Na Pa To Pimple Saudagar,15.7
332-D,Pimpri To Pune Station,26.4
332-U,Pune Station To Pimpri,26.4
333-D,Hinjawadi Maan Phase 3 To Pune Station,26.6
333-U,Pune Station To Hinjawadi Maan Phase 3,26.6
334-D,Gharkul Vasahat Chikhali To Pimprigaon,8.2
334-U,Pimprigaon To Gharkul Vasahat Chikhli,8.2
335A-D,Jambe To Dange Chowk,7.6
335A-U,Dange Chowk To Jambe,7.6
335B-D,Dange Chowk To Nehrunagar Depo,8.9
335B-U,Nehrunagar Depo To Dange Chowk,8.9
336-D,Bhakti Shakti To Kesnand Phata,31
336-U,Kesnand Phata To Bhakti Shakti,31
337-D,Bhakti Shakti To Dhayari Maruti Mandir,37.7
337-U,Dhayari Maruti Mandir To Bhakti Shakti,37.7
339B-D,Indrayaninagar To Pune Station,22.6
339B-U,Pune Station To Indrayaninagar,22.6
339-D,Santnagar MIDC Police Station To Katraj,32.5
339-U,Katraj To Santnagar MIDC Police Station,32.5
33A-D,Na Ta Wadi To Padmawati,8
33A-U,Padmawati To Na Ta Wadi,8
33-D,Na Ta Wadi To Taljai Pathar,10.2
33-U,Taljai Pathar To Na Ta Wadi,10.2
341-D,Mohannagar To Ma Na Pa,22.2
341-U,Ma Na Pa To Mohannagar,22.2
344A-U,Nehrunagar Depo To Pimple Nilakh,13.7
344B-U,Alandi To Nehrunagar Depo,13.7
344-D,Pimple Nilakh To Alandi,26.1
344-U,Alandi To Pimple Nilakh,26.1
345-D,Thergaon To Pune Station,19.3
345-U,Pune Station To Thergaon,19.3
347A-U,Nehrunagar Depo To Dapodi Mantri Niketan,18.4
347-D,Dapodi To Alandi,30.9
347-U,Alandi To Dapodi,30.9
348-D,Nigdi To Pune Station,24
348-U,Pune Station To Nigdi,24
350A-D,Dehugaon To Pimprigaon,17.1
350A-U,Pimprigaon To Dehugaon,17.1
350B-D,Bhakti Shakti To Pimprigaon,8.3
350B-U,Pimprigaon To Bhakti Shakti,8.3
350-D,Dehugaon To Nigdi,8.8
350-U,Nigdi To Dehugaon,8.8
351A-D,Jambe To Bhosari,24
351A-U,Bhosari To Jambe,24
351-D,Jambe To Alandi,32.5
351-U,Alandi To Jambe,32.5
354A-D,Pimpri To Marketyard,28.5
354A-U,Marketyard To Pimpri,28.5
354-D,Pimprigaon To Marketyard,28.8
354-U,Marketyard To Pimprigaon,28.8
355-D,Chikhali To Dange Chowk,13
355-U,Dange Chowk To Chikhali,13
357-D,Rajgurunagar To Pune Station,46.6
357-U,Pune Station To Rajgurunagar,46.6
358-D,Rajgurunagar To Bhosari,27.6
358-U,Bhosari To Rajgurunagar,27.6
360-D,Balewadi Depot To Alandi,35
360-U,Alandi To Balewadi Depot,35
361-D,Bhosari Terminal To Alandi,8.5
361-U,Alandi To Bhosari Terminal,8.5
362A-D,Alandi To YCM Hospital (Via Moshi),16
362A-U,YCM Hospital To Alandi (Via Moshi),16
362B-D,YCM Hospital To Bhosari,5.5
362B-U,Bhosari To YCM Hospital,5.5
362-D,YCM Hospital To Alandi,14
362-U,Alandi To YCM Hospital,14
363A-D,Kiwalegaon To Nigdi,10.7
363A-U,Nigdi To Kiwalegaon,10.7
363-D,Adarshnagar To Nigdi,9
363-U,Nigdi To Adarshnagar,9
366A-D,Bhapkar Petrol Pump To Bhakti Shakti,24.9
366A-U,Bhakti Shakti To Bhapkar Petrol Pump,25.9
366B-U,Pune Station To Pimpri,16.9
366C-D,Katraj To Pimpri,24.7
366-D,Bhakti Shakti To Pune Station (Via Yerwada),22.7
366-U,Pune Station To Bhakti Shakti (Via Yerwada),22.7
367A-D,Santnagar MIDC Police Station To Akurdi Railway Station,18.5
367A-U,Akurdi Railway Station To Santnagar MIDC Police Station,18.5
367B-D,Gharkul Vasahat To Bhosari Terminal,11.4
367B-U,Bhosari Terminal To Gharkul Vasahat,11.4
367C-D,Akurdi Railway Station To Bhosari,17
367C-U,Bhosari To Akurdi Railway Station,17
367-D,Gavhanevasti Bhosari To Nigdi,10.8
367-U,Nigdi To Gavhanevasti Bhosari,10.8
36-D,Chinchwadgaon To Ma Na Pa,17.1
36-U,Ma Na Pa To Chinchwadgaon,17.1
370-R,Pimpri To Pimpri,14.5
372-D,Hinjawadi Maan Phase 3 To Bhakti Shakti,20.9
372-U,Bhakti Shakti To Hinjawadi Maan Phase 3,20.9
373-D,Hinjawadi Maan Phase 3 To Wakad pul,10
373-U,Wakad Pul To Hinjawadi Maan Phase 3,10
376A-D,Bhakti Shakti To Warje Malwadi (Vai YCM),31.2
376A-U,Warje Malwadi To Bhakti Shakti (Vai YCM),31.2
376B-D,Bhakti Shakti To Shewalwadi (Vai YCM),35.7
376B-U,Shewalwadi To Bhakti Shakti (Vai YCM),35.7
376-D,Bhakti Shakti To Katraj (Vai YCM),30.9
376D-D,Bhakti Shakti To Nehrunagar Depo,9.3
376D-U,Nehrunagar Depo To Bhakti Shakti,9.3
376E-D,Warje Malwadi To Nehrunagar Depo (Vai YCM),23.5
376F-D,Sambhajinagar To Nehrunagar Depo,23
376F-U,Nehrunagar Depo To Sambhajinagar,9.6
376G-D,Shewalwadi To Nehrunagar Depo (Vai YCM),28
376H-U,Katraj To Nehrunagar Depo (Vai YCM),23.2
376K-D,Sambhajinagar To Katraj (Vai YCM),32.9
376K-U,Katraj To Sambhajinagar (Vai YCM),32.9
376-U,Katraj To Bhakti Shakti (Vai YCM),30.9
37-D,Na Ta Wadi To Sahkarnagar,7
37-U,Sahkarnagar To Na Ta Wadi,7
38-D,Na Ta Wadi To Dhankawadi,9
38-U,Dhankawadi To Na Ta Wadi,9
39-D,Pune Station To Dhankawadi,10.5
39-U,Dhankawadi To Pune Station,10.5
3-D,Pune Station To Swargate,7.5
3-U,Swargate To Pune Station,7.5
40-D,Mandai To Saket Society,5.3
40-U,Saket Society To Mandai,5.3
41-U, Upper Depot To Sangvi ,19
41-D,Sangvi To Upper Depot,19
42-D,Bhakti Shakti To Katraj,28.95
42-U,Katraj To Bhakti Shakti,28.95
43A-D,Hinjawadi Maan Phase 3 To Katraj,33.7
43A-U,Katraj To Hinjawadi Maan Phase 3,33.7
43-D,Bhakti Shakti To Katraj,33.7
43-U,Katraj To Bhakti Shakti,33.7
46-D,Lohgaon To  Upper Depot,25.9
46-U, Upper Depot To Lohgaon,25.9
47A-D,Vadgaon Bk To Shaniwarwada Stand,9.4
47A-U,Shaniwarwada Stand To Vadgaon Bk,9.4
47-D,Sanaswadi Nandoshi To Shaniwarwada,17.7
47-U,Shaniwarwada To Sanaswadi Nandoshi,17.7
48-D,Venutai Chavan College To Pune Station,16.8
48-U,Pune Station To Venutai Chavan College,16.8
49-D,Khanapur To Pune Station,27.7
49-U,Pune Station To Khanapur,27.7
50B-D,Sinhgad Paytha To Natraj Stand,22.8
50B-U,Natraj Stand To Sinhgad Paytha,22.8
50-D,Sinhagad To Shaniwarwada,24.8
50-U,Shaniwarwada To Sinhagad,24.8
51A-D,DSK Vishwa To Shivajinagar,13.2
51A-U,Shivajinagar To DSK Vishwa,13.2
51-D,Dhayari Maruti Mandi To Shivajinagar,13.2
51-U,Shivajinagar To Dhayari Maruti Mandi,13.2
52A-D,Osade Phata To Swargate,30.1
52A-U,Swargate To Osade Phata,30.1
52B-D,Khanapur To Marketyard,26
52B-U,Marketyard To Khanapur,26
52-D,Khanapur To Swargate,23.2
52-U,Swargate To Khanapur,23.2
53B-D,Swargate To Shivajinagar,4.3
53-D,DSK Vishwa To Shivajinagar,15.4
53-U,Shivajinagar To DSK Vishwa,14.4
54A-D,Vadgaon Bk To Na Ta Wadi,11.5
54A-U,Na Ta Wadi To Vadgaon Bk,11.5
54B-D,Na Ta Wadi To Swargate,4.3
54B-U,Swargate To Na Ta Wadi,4.3
54-D,Venutai Chavan College To Na Ta Wadi,13.9
54-U,Na Ta Wadi To Venutai Chavan College,13.9
55-D,Mandai To Suncity,7.8
55-U,Suncity To Mandai,7.8
56-D,Mandai To Vadgaon Bk,9.4
56-U,Vadgaon Bk To Mandai,9.4
57A-D,Suncity To Pune Station,10.3
57A-U,Pune Station To Suncity,10.3
57-D,Vadgaon Bk To Pune Station,12.3
57-U,Pune Station To Vadgaon Bk,12.3
58A-D,Pandavnagar To Shanipar,7.5
58A-U,Shanipar To Pandavnagar,7.5
58-D,Gokhalenagar To Shanipar,5.6
58P-D,Pandavnagar Senapati Bapat Road To Shanipar,7.8
58P-U,Shanipar To Pandavnagar Senapati Bapat Road,7.8
58-U,Shanipar To Gokhalenagar,5.6
59-D,Niljyoti To Shanipar,6.2
59-U,Shanipar To Niljyoti,6.2
5A-D,Tadiwala Road To Swargate,6.3
5A-U,Swargate To Tadiwala Road,6.3
5-D,Pune Station To Swargate,5.45
5-U,Swargate To Pune Station,5.45
60A-D,Ghulenagar To Natraj Stand,9
60A-U,Natraj Stand To Ghulenagar,9
60-D,Ghulenager To  Shaniwarwada Stand,12
60-U, Shaniwarwada Stand To Ghulenager,12
61-D,Nasrapur To Swargate,32
61-U,Swargate To Nasrapur,32
62A-D,Marketyard To Sangamwadi,10.2
62-D,Sangamwadi To Sukhsagarnagar,15.5
62-U,Sukhsagarnagar To Sangamwadi,15.5
63-D,Kalyaninagar To Swargate,11.5
63-U,Swargate To Kalyaninagar,11.5
64A-D,Warje Malwadi To Swargate,10
64A-U,Swargate To Warje Malwadi,10
64B-D,Gujrat Colony To Upper Depot,11.7
64B-U,Upper Depot To Gujrat Colony,11.7
64C-D,Swargate To Gujrat Colony,6.5
64-D,Warje Malwadi To Hadapsar Gadital,20
64-U,Hadapsar Gadital To Warje Malwadi,20
65A-D,Marketyard To Upper Depo,4.8
65A-U,Upper Depo To Marketyard,4.8
65-D,Maharashtra Housing Board Samtanagar To Upper Depot,16.5
65-U,Upper Depot To Maharashtra Housing Board Samtanagar,16.5
66A-D,Shaniwarwada To Marketyard,6
66A-U,Marketyard To Shaniwarwada,6
66-D,Agalambegaon To Marketyard,29.1
66-U,Marketyard To Agalambegaon,29
67-D,Kharadi Gaon To Swargate,17.2
67-U,Swargate To Kharadi Gaon,17.2
68A-D, Sukhsagarnagar To Kumbare Park,13.5
68A-U,Kumbare Park To Sukhsagarnagar,13.5
68B-D,Venutai Chavan College To Kothrud Depo,15
68B-U,Kothrud Depo To Venutai Chavan College,15
68S-D,Upper Depot To Sutardara,14.8
68S-U,Sutardara To  Upper Depot,14.8
69-D,Ghotawadegaon To Marketyard,31.3
69-U,Marketyard To Ghotawadegaon,31.3
70A-D,Shasakiya Vishramgruha Paudgaon To Deccan Gymkhana,28
70A-U,Deccan Gymkhana To Shasakiya Vishramgruha Paudgaon,28
70B-D,Shasakiya Vishramgruha Paudgaon To Kothrud Depo,22
70B-U,Kothrud Depo To Shasakiya Vishramgruha Paudgaon,22
70C-D,Sheregaon To Kothrud Depo,27.3
70C-U,Kothrud Depo To Sheregaon,27.3
70-D,Sheregaon To Deccan Gymkhana,33.3
70-U,Deccan Gymkhana To Sheregaon,33.3
71-D,Sukhsagarnagar To Kothrud Depot,14.3
71-U,Kothrud Depot To Sukhsagarnagar,14.3
72A-D,Swargate To Upper Depo,5.2
72A-U,Upper Depo To Swargate,5.2
72-D,Kondhwagate To Upper Depot,20.9
72-U,Upper Depot To Kondhwagate,20.9
73-D,Kothrud Depot To Hadapsar Gadital,18.7
73-U,Hadapsar Gadital To Kothrud Depot,18.7
75-D,Vidyanagar To Deccan Gymkhana,13.5
75-U,Deccan Gymkhana To Vidyanagar,13.5
76-D,  Upper Depot To Kumbare Park,13.8
76-U,Kumbare Park To Upper Depot,13.8
77-R,Warje Malwadi To Warje Malwadi,24.5
78A-D,Warje Malwadi To Marketyard,14.2
78A-U,Marketyard To Warje Malwadi,14.2
78-D,Kondhwagate To Marketyard,19.1
78-U,Marketyard To Kondhwagate,19.1
79B-U,Kothrud Depo To Ghotawade Phata,13.9
79C-D,Deccan Gymkhana To Kothrud Depo,6
79C-U,Kothrud Depo To Deccan Gymkhana,6
79-D,Mugawade To Deccan Gymkhana,29.9
79D-D,Deccan Gymkhana To Warje Malwadi,7.9
79D-U,Warje Malwadi To Deccan Gymkhana,7.9
79-U,Deccan Gymkhana To Mugawade,29.9
7A-D,Uruli Kanchan To Hadapsar Gadital,20.8
7A-U,Hadapsar Gadital To Uruli Kanchan,20.8
7B-D,Manjari Kh To Hadapsar Gadital,8.3
7B-U,Hadapsar Gadital To Manjari Kh,8.3
7-D,Uruli Kanchan To Sarasbaug,31.5
7-U,Sarasbaug To Uruli Kanchan,31.5
80A-D,Aditya Garden City To Ma Na Pa,12.3
80A-U,Ma Na Pa To Aditya Garden City,12.3
80B-D,Popularnagar To Ma Na Pa,9.5
80B-U,Ma Na Pa To Popularnagar,9.5
80-D,Cipla Center To Ma Na Pa,10.7
80-U,Ma Na Pa To Cipla Center,10.4
81-D,Pune Station To Kumbare Park,12.9
81-U,Kumbare Park To Pune Station,12.9
82A-D,Ma Na Pa To Warje Malwadi,9.9
82A-U,Warje Malwadi To Ma Na Pa,9.9
82B-D,Kondhwagate To Kothrud Stand,9
82C-U,Kondhwagate To Warje Malwadi,5.6
82D-U,Kothrud Depo To Kondhwagate,23.6
82E-U,Kondhwagate To Ma Na Pa,16.4
82-R,Kondhwagate To Kondhwagate,30.8
84A-D,Kondhur Phata To Deccan Gymkhana,37.4
84A-U,Deccan Gymkhana To Kondhur Phata,37.4
84B-U,Kothrud Stand To Sangrun,24.5
84C-D,Kondhur Phata To Kothrud Stand,33.5
84C-U,Kothrud Stand To Kondhur Phata,33.5
84-D,Sangrun To Deccan Gymkhana,28.4
84-U,Deccan Gymkhana To Sangrun,28.4
85A-U,Khothrud Stand To Mohakarwadi,15.3
85-D,Mohakarwadi To Ma Na Pa,20.8
85-U,Ma Na Pa To Mohakarwadi,20.8
86-R,Kothrud Depot To Kothrud Depot,16.9
87-D,Sutarwadi To Deccan Gymkhana (Vai Bhagvatinagar),12
87-U,Deccan Gymkhana To Sutarwadi (Vai Bhagvatinagar),12
87A-D,Susgaon To Deccan Gymkhana,15
87A-U,Deccan Gymkhana To Susgaon ,15
87B-D,Sutarwadi Pashan To Mandai,10.8
87B-U,Mandai To Sutarwadi Pashan,10.8
87C-D,HMR Company To Deccan Gymkhana,12.5
87C-U,Deccan Gymkhana To HMR Company,12.5
87D-D,Sutarwadi To Deccan Gymkhana (Vai Sai Chowk),12
87D-U,Deccan Gymkhana To Sutarwadi (Vai Sai Chowk),12
87F-D,Balewadi Mhalunge Phata To Deccan Gymkhana,15.5
87F-U,Deccan Gymkhana To Balewadi Mhalunge Phata,15.5
88A-D,Swargate To Medi Point,11.6
88-D,Medi Point To Upper Depot,16.8
88-U,Upper Depot To Medi Point,16.8
89-D,Niljyoti To Swargate,7.5
89-U,Swargate To Niljyoti,7.5
8-D,Mhatobachi Alandi To Hadapsar Gadital,19
8-U,Hadapsar Gadital To Mhatobachi Alandi,19
90-D,Gokhalenagar To Swargate,7.3
90P-D,Pandavnagar Senapati Bapat Road To Swargate,9
90P-U,Swargate To Pandavnagar Senapati Bapat Road,9
90-U,Swargate To Gokhalenagar,7.3
91-D,Ishanyanagari To Ma Na Pa,9
91-U,Ma Na Pa To Ishanyanagari,9
92-D,Pune Station To Gujrat Colony,9.5
92-U,Gujrat Colony To Pune Station,9.5
93-D,Pimplenilakh To Deccan Gymkhana,12.6
93-U,Deccan Gymkhana To Pimplenilakh,12.6
94A-D,Vadgaonsheri To Kumbre park,19.1
94A-U,Kumbre park To Vadgaonsheri,19.1
94B-U,Kumbare Park To Pune Station,11.2
94-D,Pune Station To Kothrud Depot,11.4
94-U,Kothrud Depot To Pune Station,11.4
95A-D, Pimplegurav To Gujrat Colony,18.2
95A-U,Gujrat Colony To  Pimplegurav,18.2
95-D,Pimplegurav To Kothrud Depot,21.1
95-U,Kothrud Depot To Pimplegurav,21.1
96-D,Gharkul Vasahat Warje To Pimplegurav,23.3
96-U,Pimplegurav To Gharkul Vasahat Warje,23.3
97-D,Sahkarnagar To Warje Malwadi,12.5
97-U,Warje Malwadi To Sahkarnagar,12.5
9-D,Uruli Railway Station To Hadapsar Gadital,27.1
9-U,Hadapsar Gadital To Uruli Railway Station,27.1
VJR1-D,Dhayari Maruti Mandir To Hadapsar Gadital,21.7
VJR1-U,Hadapsar Gadital To Dhayari Maruti Mandir,21.7
VJR2-D,Kesnand Phata To Warje Malwadi,29.4
VJR2-U,Warje Malwadi To Kesnand Phata,29.4
VJR3-D,Hadapsar Gadital To Kothrud Depot,17.9
VJR3-U,Kothrud Depot To Hadapsar Gadital,17.9
VJR4-D,Vishrantwadi To Kothrud Depot,15.9
VJR4-U,Kothrud Depot To Vishrantwadi,15.9
VJR5-D,Mukai Chowk To Ma Na Pa,20.6
VJR5-U,Ma Na Pa To Mukai Chowk,20.6
VJR6-D,Hinjawadi Maan Phase 3 To Bhosari,24
VJR6-U,Bhosari To Hinjawadi Maan Phase 3,24
VJR2A-U,Kothrud Stand To Kesnand Phata,25.4
14A-D,Kesnand Phata To Swargate ,19.4
14A-U,Swargate  To Kesnand Phata,19.4
58B-U,Swargate To Police Ground,4.5
58B-D,Police Ground To Swargate ,4.5
103D-U,Katraj To MIT College,12.5
103D-D,MIT College To Katraj,12.5
363B-D,Sainagar Mamurdi To Nigdi,8.5
363B-U,Nigdi To Sainagar Mamurdi,8.5
293S-U,Salunke Vihar To Khed Shivapur,21.9
293S-D,Khed Shivapur To Salunke Vihar,21.9
139S-U,Salunke Vihar To Bhakti Shakti,26.5
139S-D,Bhakti Shakti To  Salunke Vihar,26.5
135 NGT-D,Kesnand Phata To Pune Station,15.3
135 NGT-U,Pune Station To Kesnand Phata ,15.3
117 NGT-D,Dhayari Gaon To Swargate,9.3
117 NGT-U,Swargate To Dhayari Gaon,9.3
174 NGT-D,Kondhwa Gate To Pune Station,18.8
174 NGT-U,Pune Station To Kondhwa Gate,18.8
348 NGT-D, Bhakti Shakti To Pune Station,24
348 NGT-U,Pune Station To Bhakti Shakti,24
12 NGT-D,Bhakti Shakti To  Swargate,23
12 NGT-U,Swargate To Bhakti Shakti,23
158B-U,Ma Na Pa To  D.Y. Patil Vidhypith Lohgaon,17.9
158B-D,D.Y. Patil Vidhypith Lohgaon To Ma Na Pa,17.9
19D-U,Trinity College To Shivajinagar,18.1
19D-D,Shivajinagar To Trinity College,18.1
253-D,Vidyanagar To  Upper Depot,22.8
253-U,Upper Depot To Vidyanagar,22.8
